GENOME: GCF_000313135.1,GENOME: GCF_000001405.38,GENOME: GCF_000001735.4,GENOME: GCF_000002445.2,GENOME: https://megasun.bch.umontreal.ca/Andalucia_godoyi/Andalucia_godoyi_proteome.faa,GENOME: GCF_000189635.1,GENOME: GCF_000006565.2
Acanthamoeba_Amoebozoa_ELR21948.1,Homo_Holozoa_NP_002940.2_39S_ribosomal_protein_L12_mitochondrial,Arabidopsis_Streptophyta_AEC05666.1_Ribosomal_protein_L12-_ATP-dependent_Clp_protease_adaptor_protein_ClpS_family_protein,Trypanosoma_Euglenozoa_XP_847416.1_50S_ribosomal_protein_L17_putative,Andalucia_Jakobida_00091.mRNA.1_mitochondrial_3-hydroxyisobutyryl-CoA_hydrolase_domain_protein,Tetrahymena@Ciliophora_XP_001014959.1_phosphatidylinositol_4-phosphate_5-kinase,Toxoplasma_Apicomplexa_XP_002364606.2_ribosomal_protein_L19_protein
,Homo_Holozoa_XP_011512381.1_39S_ribosomal_protein_L36_mitochondrial_isoform_X1,Arabidopsis_Streptophyta_AEC06070.1_Ribosomal_protein_S12-S23_family_protein,Trypanosoma_Euglenozoa_XP_001218841.1,Andalucia_Jakobida_04382.mRNA.1_mitochondrial_ribosomal_protein_L29_bL29m,Tetrahymena@Ciliophora_XP_001023227.1,Toxoplasma_Apicomplexa_XP_002366198.1_LSU_ribosomal_protein_L14P_putative
,Homo_Holozoa_NP_001305414.1_39S_ribosomal_protein_L20_mitochondrial_isoform_2,Arabidopsis_Streptophyta_AEC06100.1_Nucleic_acid-binding_OB-fold-like_protein,Trypanosoma_Euglenozoa_XP_829556.1,Andalucia_Jakobida_05657.mRNA.1_mitochondrial_ribosomal_protein_S5_uS5m,Tetrahymena_Ciliophora_XP_001030600.2_50S_ribosomal_protein_L1P,Toxoplasma_Apicomplexa_XP_002366244.1_BIR_protein
,Homo_Holozoa_NP_852616.1_39S_ribosomal_protein_L21_mitochondrial_isoform_a,Arabidopsis_Streptophyta_AEC06107.1_Ribosomal_L5P_family_protein,Trypanosoma_Euglenozoa_XP_846078.1_60S_ribosomal_protein-like,,,Toxoplasma_Apicomplexa_XP_002366409.1
,Homo_Holozoa_XP_005273880.1_39S_ribosomal_protein_L21_mitochondrial_isoform_X1,Arabidopsis_Streptophyta_AEC06112.1_Alpha-L_RNA-binding_motif-Ribosomal_protein_S4_family_protein,Trypanosoma@Euglenozoa_XP_846085.1,,,Toxoplasma_Apicomplexa_XP_002366611.1_50S_ribosomal_protein_l24_putative
,Homo_Holozoa_NP_001308213.1_39S_ribosomal_protein_L55_mitochondrial_isoform_a,Arabidopsis_Streptophyta_AEC06555.1_Ribosomal_protein_L27_family_protein,Trypanosoma_Euglenozoa_XP_829079.1,,,Toxoplasma_Apicomplexa_XP_002367008.1_large_subunit_ribosomal_protein_IMG2
,Homo_Holozoa_NP_852127.2_39S_ribosomal_protein_L55_mitochondrial_isoform_b,Arabidopsis_Streptophyta_AEC06765.1_ribosomal_protein_L6_family_protein,,,,Toxoplasma_Apicomplexa_XP_002369201.1_ribosomal_protein_RPL35
,Homo_Holozoa_NP_057706.2_39S_ribosomal_protein_L35_mitochondrial_isoform_a,Arabidopsis_Streptophyta_AED91717.1_Ribosomal_protein_L19_family_protein,,,,Toxoplasma_Apicomplexa_XP_002369335.2_L1P_family_of_ribosomal_protein
,Homo_Holozoa_NP_663619.1_39S_ribosomal_protein_L35_mitochondrial_isoform_b,Arabidopsis_Streptophyta_AED92013.1_Mitochondrial_ribosomal_protein_L37,,,,Toxoplasma_Apicomplexa_XP_002371147.1_50S_ribosomal_protein_L17_putative
,Homo_Holozoa_XP_005264418.1_39S_ribosomal_protein_L35_mitochondrial_isoform_X1,Arabidopsis_Streptophyta_AED92131.1_Ribosomal_protein_L27_family_protein,,,,Toxoplasma_Apicomplexa_XP_002371987.1
,Homo_Holozoa_NP_115868.1_39S_ribosomal_protein_L36_mitochondrial,Arabidopsis_Streptophyta_AED93679.1_Mitochondrial_inner_membrane_translocase_complex_subunit_Tim44-related_protein,,,,Toxoplasma_Apicomplexa_XP_018635102.1_ribosomal_protein_l7-l12_c-terminal_domain-containing_protein
,Homo_Holozoa_XP_011512382.1_39S_ribosomal_protein_L36_mitochondrial_isoform_X2,Arabidopsis_Streptophyta_AED93680.1_Mitochondrial_inner_membrane_translocase_complex_subunit_Tim44-related_protein,,,,Toxoplasma_Apicomplexa_XP_018635138.1
,Homo_Holozoa_XP_011512381.1_39S_ribosomal_protein_L36_mitochondrial_isoform_X1,Arabidopsis_Streptophyta_AED94477.1_Mitochondrial_ribosomal_protein_L27,,,,Toxoplasma_Apicomplexa_XP_018635271.1
